Datetime,Open,High,Low,Close,Volume
1609448760000,28934.05000000,28961.21000000,28933.68000000,28956.69000000,35.18912900
1609448820000,28956.69000000,28973.80000000,28953.22000000,28973.79000000,20.95131100
1609448880000,28973.79000000,28973.90000000,28947.31000000,28967.15000000,52.71183200
1609448940000,28967.14000000,28994.17000000,28954.62000000,28994.16000000,22.42065300
1609449000000,28994.17000000,28998.76000000,28976.68000000,28995.41000000,25.08827300
1609449060000,28995.42000000,29018.11000000,28993.56000000,29016.99000000,25.92446600
1609449120000,29017.00000000,29017.00000000,29000.00000000,29000.01000000,21.97875700
1609449180000,29000.01000000,29016.99000000,29000.01000000,29016.98000000,22.87210400
1609449240000,29016.98000000,29041.95000000,29009.91000000,29039.12000000,32.00634700
1609449300000,29039.13000000,29043.88000000,29029.33000000,29043.88000000,24.43820500
1609449360000,29043.89000000,29057.49000000,29039.98000000,29056.55000000,19.87435600
1609449420000,29056.54000000,29089.71000000,29056.53000000,29088.17000000,43.82230000
1609449480000,29088.18000000,29099.98000000,29078.25000000,29098.98000000,44.00291600
1609449540000,29098.97000000,29145.00000000,29098.95000000,29143.06000000,98.27427000
1609449600000,29143.05000000,29143.79000000,29083.48000000,29087.12000000,100.70070800
1609449660000,29087.15000000,29110.71000000,29087.10000000,29102.58000000,31.52505700
1609449720000,29102.59000000,29104.29000000,29051.00000000,29061.92000000,73.65255500
1609449780000,29063.56000000,29107.97000000,29061.95000000,29103.56000000,41.63495100
1609449840000,29103.56000000,29103.99000000,29080.33000000,29080.33000000,24.69773400
1609449900000,29080.34000000,29085.25000000,29079.42000000,29080.20000000,17.62696100
1609449960000,29080.20000000,29107.16000000,29080.19000000,29107.15000000,20.31441000
1609450020000,29107.15000000,29108.08000000,29086.66000000,29104.32000000,15.27571900
1609450080000,29104.32000000,29110.00000000,29090.04000000,29109.70000000,33.03624100
1609450140000,29109.70000000,29109.70000000,29092.35000000,29094.71000000,25.92369000
1609450200000,29094.71000000,29117.57000000,29094.71000000,29117.56000000,30.65138800
1609450260000,29117.56000000,29150.00000000,29117.56000000,29149.99000000,120.47927900
1609450320000,29149.99000000,29150.47000000,29124.33000000,29146.40000000,90.05279200
1609450380000,29146.40000000,29161.76000000,29145.43000000,29155.22000000,57.74757500
1609450440000,29155.21000000,29169.55000000,29151.75000000,29161.17000000,44.97489100
1609450500000,29161.17000000,29161.18000000,29112.33000000,29117.37000000,41.93633400
1609450560000,29117.38000000,29117.45000000,29082.47000000,29087.22000000,47.25333400
1609450620000,29087.22000000,29087.22000000,29063.14000000,29066.94000000,34.79538800
1609450680000,29066.95000000,29066.95000000,29053.37000000,29057.24000000,24.42093000
1609450740000,29057.24000000,29057.24000000,29025.54000000,29037.00000000,22.95909100
1609450800000,29037.00000000,29072.93000000,29030.40000000,29059.08000000,23.78799000
1609450860000,29059.09000000,29079.50000000,29059.08000000,29078.21000000,20.90360600
1609450920000,29078.21000000,29078.22000000,29053.63000000,29063.18000000,22.50570200
1609450980000,29063.17000000,29070.36000000,29056.52000000,29061.11000000,18.48493500
1609451040000,29061.11000000,29061.12000000,29026.57000000,29040.78000000,42.47542600
1609451100000,29040.78000000,29040.79000000,29000.41000000,29017.10000000,39.90254200
